Bandit,Reward,Algorithm
1,3.593416257161452,EpsilonGreedyBandit
0,1.1614397890322246,EpsilonGreedyBandit
3,5.637265534144955,EpsilonGreedyBandit
0,1.4458295611957581,EpsilonGreedyBandit
0,1.3658826539669073,EpsilonGreedyBandit
1,2.0685341288380457,EpsilonGreedyBandit
1,2.2658384823946895,EpsilonGreedyBandit
3,5.222766270242485,EpsilonGreedyBandit
3,4.619565008812586,EpsilonGreedyBandit
0,-0.7521791077959856,EpsilonGreedyBandit
0,0.7802881504325283,EpsilonGreedyBandit
0,1.72914223920642,EpsilonGreedyBandit
2,2.614741445672752,EpsilonGreedyBandit
1,3.9699846794700493,EpsilonGreedyBandit
0,0.7454993698924726,EpsilonGreedyBandit
3,4.010200359893021,EpsilonGreedyBandit
3,4.97779097876432,EpsilonGreedyBandit
1,1.7015231127498658,EpsilonGreedyBandit
2,2.3631967610859412,EpsilonGreedyBandit
3,4.087674396304631,EpsilonGreedyBandit
1,2.031279532296758,EpsilonGreedyBandit
1,3.5462081748069605,EpsilonGreedyBandit
1,1.1071896209263223,EpsilonGreedyBandit
1,1.9572742766843765,EpsilonGreedyBandit
1,1.879715242375368,EpsilonGreedyBandit
2,3.0081656255790192,EpsilonGreedyBandit
0,1.9673764109557452,EpsilonGreedyBandit
3,4.161986224235952,EpsilonGreedyBandit
1,2.4481180695900573,EpsilonGreedyBandit
2,2.782920645464993,EpsilonGreedyBandit
2,3.8986788606073692,EpsilonGreedyBandit
2,2.3364241437132716,EpsilonGreedyBandit
1,3.158141835039002,EpsilonGreedyBandit
0,2.035460952139972,EpsilonGreedyBandit
3,3.867508668672568,EpsilonGreedyBandit
2,2.8429325321868735,EpsilonGreedyBandit
3,4.346606515710307,EpsilonGreedyBandit
3,4.656822068604524,EpsilonGreedyBandit
1,0.5598892350285316,EpsilonGreedyBandit
3,4.348200063817325,EpsilonGreedyBandit
0,1.1838806844138072,EpsilonGreedyBandit
0,-1.1289500191627573,EpsilonGreedyBandit
1,1.5624481724369539,EpsilonGreedyBandit
1,1.4297779659122232,EpsilonGreedyBandit
0,0.9817400937618979,EpsilonGreedyBandit
1,1.517382978555002,EpsilonGreedyBandit
2,3.654040573975008,EpsilonGreedyBandit
2,0.036237304029485884,EpsilonGreedyBandit
0,1.2356494306040229,EpsilonGreedyBandit
2,4.137671194720109,EpsilonGreedyBandit
0,-0.5848173774097571,EpsilonGreedyBandit
2,3.9525492442024217,EpsilonGreedyBandit
0,1.648085065183145,EpsilonGreedyBandit
2,3.5160459901756718,EpsilonGreedyBandit
2,3.5087818078916833,EpsilonGreedyBandit
3,5.171362368288808,EpsilonGreedyBandit
2,3.9544397746686997,EpsilonGreedyBandit
0,0.540259926807656,EpsilonGreedyBandit
1,3.898590925870927,EpsilonGreedyBandit
2,3.1309588665252104,EpsilonGreedyBandit
0,1.8381450921324929,EpsilonGreedyBandit
3,5.955691495815373,EpsilonGreedyBandit
2,3.115822568765034,EpsilonGreedyBandit
2,3.539982720515563,EpsilonGreedyBandit
2,2.56909631318673,EpsilonGreedyBandit
0,0.3050706225755013,EpsilonGreedyBandit
2,2.3900808396035513,EpsilonGreedyBandit
2,2.8522329204084786,EpsilonGreedyBandit
1,1.0057071870272498,EpsilonGreedyBandit
1,2.5589590064435916,EpsilonGreedyBandit
2,2.6103005277100606,EpsilonGreedyBandit
3,2.5917801382749506,EpsilonGreedyBandit
3,3.540470490389184,EpsilonGreedyBandit
0,-0.05535354937878578,EpsilonGreedyBandit
2,2.956742170784878,EpsilonGreedyBandit
3,5.609402257145231,EpsilonGreedyBandit
0,0.1940870098995474,EpsilonGreedyBandit
3,4.050828894629044,EpsilonGreedyBandit
1,2.3685809462577896,EpsilonGreedyBandit
1,2.5714871405723696,EpsilonGreedyBandit
2,4.196173230034947,EpsilonGreedyBandit
2,2.3523146891333524,EpsilonGreedyBandit
3,5.374720981942904,EpsilonGreedyBandit
3,5.816892001300629,EpsilonGreedyBandit
2,1.5023264828232867,EpsilonGreedyBandit
1,2.5677600059242547,EpsilonGreedyBandit
0,2.5784804351680948,EpsilonGreedyBandit
0,-0.7224471442841527,EpsilonGreedyBandit
0,2.970563125122415,EpsilonGreedyBandit
3,3.5318416456805672,EpsilonGreedyBandit
1,1.6501342404143347,EpsilonGreedyBandit
0,1.5306538922402417,EpsilonGreedyBandit
0,0.9412802402334743,EpsilonGreedyBandit
2,2.778174120867324,EpsilonGreedyBandit
0,0.608558780314331,EpsilonGreedyBandit
3,5.550483796034187,EpsilonGreedyBandit
2,4.147120966711453,EpsilonGreedyBandit
3,6.640714933310708,EpsilonGreedyBandit
1,2.7321551651542535,EpsilonGreedyBandit
3,3.2800577767249752,EpsilonGreedyBandit
2,3.9013858386530567,EpsilonGreedyBandit
1,4.007307032732351,EpsilonGreedyBandit
2,2.581781415236665,EpsilonGreedyBandit
3,5.120439625017172,EpsilonGreedyBandit
1,1.5725938063581701,EpsilonGreedyBandit
2,1.616539102951694,EpsilonGreedyBandit
0,1.6719181241337198,EpsilonGreedyBandit
2,2.7054732172781204,EpsilonGreedyBandit
1,2.9012477676974435,EpsilonGreedyBandit
0,1.2402662377035367,EpsilonGreedyBandit
3,2.9862472095527464,EpsilonGreedyBandit
0,0.7812804664484807,EpsilonGreedyBandit
1,2.8825035195085285,EpsilonGreedyBandit
0,1.533848252575838,EpsilonGreedyBandit
0,0.6342032903822825,EpsilonGreedyBandit
2,2.494479989145499,EpsilonGreedyBandit
1,1.2864472817159172,EpsilonGreedyBandit
1,1.3288027617173406,EpsilonGreedyBandit
